File Name,Constructive Method,Initial Tour Length,After 2-opt,After Node Swap,After Node Shift,2-opt Time (ms),Node Swap Time (ms),Node Shift Time (ms)
ch130.tsp,Nearest Neighbor,8268.55,6777.62,8085.98,7561.71,85,22,127
ch130.tsp,Nearest Insertion,7454.47,6617.76,7002.77,6687.24,24,22,39
ch130.tsp,Cheapest Insertion,7305.53,6888.86,6963.1,6743.09,15,21,44
pr76.tsp,Nearest Neighbor,151361.45,110367.44,127219.82,132621.02,4,4,8
pr76.tsp,Nearest Insertion,128620.67,123836.6,126118.41,119484.79,1,2,5
pr76.tsp,Cheapest Insertion,126639.12,115360.55,119410.23,119377.99,3,4,5
berlin52.tsp,Nearest Neighbor,10200.89,8060.65,8622.93,8391.52,1,1,3
berlin52.tsp,Nearest Insertion,9179.19,8649.85,9006.78,8404.28,0,0,1
berlin52.tsp,Cheapest Insertion,9072.2,8642.21,8984.73,8528.9,1,0,4
lin318.tsp,Nearest Neighbor,52249.22,45233.51,50924.19,48191.37,556,225,871
lin318.tsp,Nearest Insertion,52263.19,46200.06,50256.43,46151.3,438,226,709
lin318.tsp,Cheapest Insertion,50346.21,47342.47,49501.2,46696.47,345,220,603
ch150.tsp,Nearest Neighbor,7816.57,7015.61,7681.69,7334.55,33,28,119
ch150.tsp,Nearest Insertion,8032.85,7413.06,7885.06,7135.81,24,20,67
ch150.tsp,Cheapest Insertion,7857.84,7126.11,7548.94,6990.21,41,21,79
rat99.tsp,Nearest Neighbor,1440.45,1287.41,1421.15,1369.59,11,3,15
rat99.tsp,Nearest Insertion,1478.86,1320.43,1401.87,1283.34,7,9,19
rat99.tsp,Cheapest Insertion,1461.38,1358.81,1434.64,1347.07,7,3,16
kroA100.tsp,Nearest Neighbor,26291.1,22692.39,24284.86,23139.02,12,8,22
kroA100.tsp,Nearest Insertion,25744.56,23031.45,25476.88,22969.64,9,6,20
kroA100.tsp,Cheapest Insertion,25303.89,22749.48,23726.11,22548.22,7,6,12
eil51.tsp,Nearest Neighbor,517.46,438.53,500.11,471.58,1,1,2
eil51.tsp,Nearest Insertion,490.63,469.52,479.48,450.6,0,0,2
eil51.tsp,Cheapest Insertion,483.44,445.31,471.25,444.83,1,0,1
eil101.tsp,Nearest Neighbor,776.52,668.97,715.48,683.04,14,6,27
eil101.tsp,Nearest Insertion,728.01,704.39,716.33,670.95,12,4,22
eil101.tsp,Cheapest Insertion,723.16,708.69,711.94,680.15,5,4,21
kroB100.tsp,Nearest Neighbor,27832.51,22314.16,27180.05,24916,15,3,41
kroB100.tsp,Nearest Insertion,27120.77,23762.42,26293.54,24309.48,20,8,16
kroB100.tsp,Cheapest Insertion,25372.21,24009.35,24490.92,23969.18,9,4,16
rat195.tsp,Nearest Neighbor,2803.16,2531.4,2769.82,2626.92,104,52,167
rat195.tsp,Nearest Insertion,2926.34,2588.76,2722.15,2515.72,86,48,158
rat195.tsp,Cheapest Insertion,2743.47,2597.36,2646.76,2510.22,78,82,180
lin105.tsp,Nearest Neighbor,17517.54,14838.46,17038.69,15255.14,10,6,25
lin105.tsp,Nearest Insertion,19028.39,15324.87,18420.89,16066.48,16,6,16
lin105.tsp,Cheapest Insertion,17377.29,15662.18,16734.82,15935.77,12,4,16
bier127.tsp,Nearest Neighbor,133970.65,128013.28,131683.74,128801.92,12,10,28
bier127.tsp,Nearest Insertion,144604.45,128338.29,138458.04,134337.32,21,20,34
bier127.tsp,Cheapest Insertion,139249.84,135329.12,137342.8,132752.72,20,10,38
kroE100.tsp,Nearest Neighbor,25896.73,23281.16,24732.56,24357.22,6,6,16
kroE100.tsp,Nearest Insertion,26847.99,25353.15,26263.56,24036.19,7,4,18
kroE100.tsp,Cheapest Insertion,26516.57,24501.12,26098.03,23530.83,9,4,14
a280.tsp,Nearest Neighbor,3288.48,2765.34,3097.44,2911.69,298,99,289
a280.tsp,Nearest Insertion,3051.17,2867.33,2979.73,2814.38,132,108,359
a280.tsp,Cheapest Insertion,3067.06,2908.41,3017,2845.12,93,79,205
st70.tsp,Nearest Neighbor,794.55,712.01,744.41,716.9,1,0,2
st70.tsp,Nearest Insertion,803.52,738.87,779.56,743.64,2,1,3
st70.tsp,Cheapest Insertion,745.42,730.26,733.08,732.07,1,0,2
kroD100.tsp,Nearest Neighbor,28215.49,22604.06,27619.6,26505.82,5,3,7
kroD100.tsp,Nearest Insertion,25066.4,23266.58,24452.64,23442.06,6,3,8
kroD100.tsp,Cheapest Insertion,24782.87,23277.51,24484.38,23169.85,3,2,6
kroC100.tsp,Nearest Neighbor,26244.19,22925.57,25033.25,23456.69,8,3,18
kroC100.tsp,Nearest Insertion,26061.9,24309.82,25326.87,23336.87,3,3,6
kroC100.tsp,Cheapest Insertion,25523.2,23911.65,25014.81,22915.97,6,3,13
eil76.tsp,Nearest Neighbor,711.07,596.44,632.68,575.74,2,1,3
eil76.tsp,Nearest Insertion,629.76,617.61,624.51,580.92,1,0,4
eil76.tsp,Cheapest Insertion,618.35,598.76,604.71,578.66,1,2,5
pr124.tsp,Nearest Neighbor,68321.44,59767.6,63341.82,62732.93,9,8,29
pr124.tsp,Nearest Insertion,69410.94,62010.96,67820.86,66016.13,9,6,8
pr124.tsp,Cheapest Insertion,65935.17,62266.69,64966.68,63726.62,7,6,12
pr144.tsp,Nearest Neighbor,64796.26,59976.79,64620.7,62478.29,19,6,45
pr144.tsp,Nearest Insertion,73626.08,59940.65,72820.87,72231,15,9,20
pr144.tsp,Cheapest Insertion,73220.17,59974.2,72562.86,72116.37,15,6,32
