group,dataset,instance,n,m,alpha,known_opt,toyoda_profit,toyoda_ms,improved_toyoda_profit,improved_toyoda_ms,randomized_greedy_best,randomized_greedy_avg,randomized_greedy_std,randomized_greedy_ms,improved_randomized_greedy_best,improved_randomized_greedy_avg,improved_randomized_greedy_std,improved_randomized_greedy_ms,toyoda_gap,improved_toyoda_gap,randomized_greedy_gap,improved_randomized_greedy_gap,improved_toyoda_vs_toyoda_pct,improved_randomized_greedy_vs_randomized_greedy_pct,randomized_greedy_vs_toyoda_pct,improved_randomized_greedy_vs_improved_toyoda_pct
chubeas,OR10x100,OR10x100-0.25_1,100,10,0.25,,22465,16.852,22661,32.557,22766,22242.55,270.51,45.418,22779,22460.7,211.51,193.395,,,,,0.872,0.057,1.34,0.521
chubeas,OR10x100,OR10x100-0.25_10,100,10,0.25,,22398,17.689,22423,31.243,22443,21894.8,297.0,44.194,22510,22174.4,198.15,196.115,,,,,0.112,0.299,0.201,0.388
chubeas,OR10x100,OR10x100-0.25_2,100,10,0.25,,22212,18.264,22237,30.503,22373,21866.05,290.08,44.07,22435,22172.05,168.33,191.708,,,,,0.113,0.277,0.725,0.89
chubeas,OR10x100,OR10x100-0.25_3,100,10,0.25,,21240,16.365,21710,34.753,21835,21168.35,251.88,40.875,21865,21454.7,193.24,190.136,,,,,2.213,0.137,2.801,0.714
chubeas,OR10x100,OR10x100-0.25_4,100,10,0.25,,21941,18.431,22241,28.615,22368,21823.1,294.1,43.241,22453,22096.15,143.27,188.542,,,,,1.367,0.38,1.946,0.953
chubeas,OR10x100,OR10x100-0.25_5,100,10,0.25,,21320,16.413,20121,33.266,22202,21589.75,355.04,41.983,22365,21957.05,221.07,182.518,,,,,-5.624,0.734,4.137,11.153
chubeas,OR10x100,OR10x100-0.25_6,100,10,0.25,,22447,16.783,22475,28.945,22134,21734.4,221.87,44.39,22620,22143.2,196.84,184.42,,,,,0.125,2.196,-1.394,0.645
chubeas,OR10x100,OR10x100-0.25_7,100,10,0.25,,21048,16.763,21214,28.921,21531,21065.35,238.35,41.903,21601,21415.65,124.98,186.409,,,,,0.789,0.325,2.295,1.824
chubeas,OR10x100,OR10x100-0.25_8,100,10,0.25,,22148,17.091,22148,22.587,22156,21744.85,220.92,43.476,22263,21971.55,155.33,186.546,,,,,0.0,0.483,0.036,0.519
chubeas,OR10x100,OR10x100-0.25_9,100,10,0.25,,21681,17.527,21991,36.801,21753,21504.25,184.02,42.112,22071,21801.05,196.85,190.156,,,,,1.43,1.462,0.332,0.364
chubeas,OR10x100,OR10x100-0.50_1,100,10,0.50,,40976,32.588,41031,48.699,41122,40555.5,257.8,77.769,41198,40809.85,179.85,286.851,,,,,0.134,0.185,0.356,0.407
chubeas,OR10x100,OR10x100-0.50_10,100,10,0.50,,40816,28.836,40817,44.341,40887,40521.65,213.86,71.412,41050,40866.2,107.14,275.27,,,,,0.002,0.399,0.174,0.571
chubeas,OR10x100,OR10x100-0.50_2,100,10,0.50,,41600,27.019,41873,43.216,41780,41449.95,226.23,72.221,41903,41737.65,152.02,281.189,,,,,0.656,0.294,0.433,0.072
chubeas,OR10x100,OR10x100-0.50_3,100,10,0.50,,41916,28.434,42016,52.43,42003,41597.35,278.2,72.465,42211,41977.7,129.72,277.698,,,,,0.239,0.495,0.208,0.464
chubeas,OR10x100,OR10x100-0.50_4,100,10,0.50,,44823,27.941,45339,55.074,45037,44807.65,127.04,73.503,45340,44975.7,186.73,277.813,,,,,1.151,0.673,0.477,0.002
chubeas,OR10x100,OR10x100-0.50_5,100,10,0.50,,41384,26.503,41595,50.033,41409,40941.7,216.66,66.548,41640,41295.25,187.48,271.724,,,,,0.51,0.558,0.06,0.108
chubeas,OR10x100,OR10x100-0.50_6,100,10,0.50,,42236,29.56,41057,53.893,42483,41997.2,260.45,82.006,42810,42395.45,235.76,290.222,,,,,-2.791,0.77,0.585,4.27
chubeas,OR10x100,OR10x100-0.50_7,100,10,0.50,,42816,29.226,42500,53.703,43233,42817.2,237.89,74.244,43229,42967.8,175.02,276.649,,,,,-0.738,-0.009,0.974,1.715
chubeas,OR10x100,OR10x100-0.50_8,100,10,0.50,,42471,27.981,42711,43.615,42742,42241.55,244.23,69.451,42853,42560.45,182.0,270.318,,,,,0.565,0.26,0.638,0.332
chubeas,OR10x100,OR10x100-0.50_9,100,10,0.50,,41755,29.034,41882,43.482,42035,41539.15,236.33,69.159,41970,41804.9,109.05,278.116,,,,,0.304,-0.155,0.671,0.21
chubeas,OR10x100,OR10x100-0.75_1,100,10,0.75,,57048,34.835,57070,44.817,57062,56658.55,196.66,94.852,57171,56978.75,152.11,271.044,,,,,0.039,0.191,0.025,0.177
chubeas,OR10x100,OR10x100-0.75_10,100,10,0.75,,59833,33.894,59424,45.703,60409,60024.35,259.62,94.916,60596,60365.45,74.66,274.774,,,,,-0.684,0.31,0.963,1.972
chubeas,OR10x100,OR10x100-0.75_2,100,10,0.75,,58476,34.472,58545,46.755,58702,58364.15,212.67,94.946,58736,58653.3,61.17,279.997,,,,,0.118,0.058,0.386,0.326
chubeas,OR10x100,OR10x100-0.75_3,100,10,0.75,,57580,36.431,57081,45.587,58182,57720.1,225.78,95.728,58186,58035.5,122.28,274.684,,,,,-0.867,0.007,1.046,1.936
chubeas,OR10x100,OR10x100-0.75_4,100,10,0.75,,60944,34.516,60053,53.194,61788,61238.1,288.56,93.664,61754,61487.8,156.99,280.204,,,,,-1.462,-0.055,1.385,2.832
chubeas,OR10x100,OR10x100-0.75_5,100,10,0.75,,60362,33.734,59100,53.833,60598,60289.1,164.13,91.973,60803,60523.4,129.67,277.04,,,,,-2.091,0.338,0.391,2.882
chubeas,OR10x100,OR10x100-0.75_6,100,10,0.75,,60871,34.36,60995,52.212,61061,60770.1,174.61,92.919,61278,61038.6,166.1,273.322,,,,,0.204,0.355,0.312,0.464
chubeas,OR10x100,OR10x100-0.75_7,100,10,0.75,,56084,34.249,56085,45.694,56332,55763.85,222.29,92.335,56196,56076.65,61.78,272.608,,,,,0.002,-0.241,0.442,0.198
chubeas,OR10x100,OR10x100-0.75_8,100,10,0.75,,59005,34.639,59056,45.709,59075,58687.3,197.62,92.108,59186,58949.5,201.84,276.656,,,,,0.086,0.188,0.119,0.22
chubeas,OR10x100,OR10x100-0.75_9,100,10,0.75,,59840,36.115,59985,54.627,59851,59446.15,176.55,104.651,60205,59854.35,141.65,272.707,,,,,0.242,0.591,0.018,0.367
chubeas,OR10x250,OR10x250-0.25_1,250,10,0.25,,58393,103.453,58624,216.555,58818,58160.0,362.94,129.589,58803,58274.05,314.19,1033.786,,,,,0.396,-0.026,0.728,0.305
chubeas,OR10x250,OR10x250-0.25_10,250,10,0.25,,58517,105.983,58517,142.699,58777,58289.1,324.58,134.617,58778,58294.3,352.8,1044.485,,,,,0.0,0.002,0.444,0.446
chubeas,OR10x250,OR10x250-0.25_2,250,10,0.25,,57991,104.73,58284,220.115,58233,58001.95,128.14,130.151,58428,57951.6,333.75,1052.745,,,,,0.505,0.335,0.417,0.247
chubeas,OR10x250,OR10x250-0.25_3,250,10,0.25,,56942,105.344,56466,218.637,57715,57255.1,207.56,133.649,57744,57393.0,199.49,1040.233,,,,,-0.836,0.05,1.358,2.263
chubeas,OR10x250,OR10x250-0.25_4,250,10,0.25,,60296,106.973,60552,221.298,60578,60134.05,274.31,133.055,60622,60139.7,244.1,1059.219,,,,,0.425,0.073,0.468,0.116
chubeas,OR10x250,OR10x250-0.25_5,250,10,0.25,,57643,107.034,57643,137.617,57303,56964.4,176.14,131.264,57643,57125.65,192.26,1023.67,,,,,0.0,0.593,-0.59,0.0
chubeas,OR10x250,OR10x250-0.25_6,250,10,0.25,,57764,103.753,58226,219.376,57985,57520.45,237.09,131.017,58127,57798.1,258.49,1043.972,,,,,0.8,0.245,0.383,-0.17
chubeas,OR10x250,OR10x250-0.25_7,250,10,0.25,,57659,103.498,57804,214.391,58004,57664.3,165.2,133.156,58192,57772.6,318.64,1032.027,,,,,0.251,0.324,0.598,0.671
