Exp_No,Info_Gain,Info_Gain(With_Random),Gini_Impurity,Gini_Impurity(With_Random
1,84.74,75.13,84.74,75.42
2,86.48,77.08,87.13,77.01
3,84.89,72.38,85.10,75.13
4,86.55,70.43,86.55,78.60
5,87.20,77.44,87.20,75.78
6,85.25,78.45,84.82,77.95
7,82.65,76.43,82.65,78.67
8,87.56,80.62,87.56,76.28
9,86.62,76.36,86.62,73.68
10,84.67,73.25,84.31,75.34
11,86.33,82.36,86.26,80.84
12,85.47,77.66,85.32,72.09
13,87.20,69.78,87.20,73.46
14,84.60,75.78,83.51,75.99
15,85.83,77.80,85.47,75.78
16,84.09,75.85,84.09,73.61
17,81.49,77.66,82.07,78.09
18,85.25,73.75,83.59,78.60
19,86.33,76.07,86.62,72.45
20,83.01,75.05,84.96,80.62
