File Name,Constructive Method,Initial Tour Length,After 2-opt,After Node Swap,After Node Shift,2-opt Time (ms),Node Swap Time (ms),Node Shift Time (ms),2-opt Error,Node Swap Error,Node Shift Error,Standard Deviation
ch130,Nearest Neighbor,7592.90,6676.11,7488.30,7205.98,45,11,59,9.27,22.56,17.94,5.51
ch130,Nearest Insertion,7342.11,6475.31,7053.89,6738.42,25,11,29,5.98,15.45,10.29,3.87
ch130,Cheapest Insertion,7180.27,6693.36,6771.38,6604.46,8,15,25,9.55,10.82,8.09,1.12
pr76,Nearest Neighbor,151370.91,111620.45,123651.37,131665.90,2,2,6,3.20,14.32,21.73,7.62
pr76,Nearest Insertion,128620.67,126290.41,126118.41,119484.79,1,1,3,16.76,16.60,10.47,2.93
pr76,Cheapest Insertion,127104.62,114648.76,120180.62,119377.99,3,1,2,6.00,11.11,10.37,2.26
berlin52,Nearest Neighbor,9067.75,8058.66,8927.82,8249.82,0,0,1,6.85,18.37,9.39,4.94
berlin52,Nearest Insertion,9213.48,8455.74,9001.88,8113.42,0,0,2,12.12,19.36,7.58,4.85
berlin52,Cheapest Insertion,9001.78,8819.91,8931.27,8464.18,0,1,2,16.94,18.42,12.23,2.64
lin318,Nearest Neighbor,53078.19,45627.27,51744.34,48900.11,196,131,470,8.56,23.12,16.35,5.95
lin318,Nearest Insertion,52573.65,46730.39,49618.28,46200.34,228,159,385,11.19,18.06,9.92,3.57
lin318,Cheapest Insertion,50096.48,47673.61,49480.06,47287.28,227,118,376,13.43,17.73,12.51,2.27
ch150,Nearest Neighbor,7489.63,6918.43,7333.34,7179.79,19,8,28,5.98,12.34,9.98,2.62
ch150,Nearest Insertion,7999.81,7606.52,7832.76,7135.81,12,10,36,16.52,19.99,9.31,4.45
ch150,Cheapest Insertion,7994.12,7311.19,7668.31,7032.77,13,10,58,12.00,17.47,7.73,3.98
rat99,Nearest Neighbor,1613.51,1309.65,1580.97,1369.44,5,4,20,8.15,30.55,13.08,9.61
rat99,Nearest Insertion,1470.99,1322.83,1428.17,1313.95,3,1,10,9.23,17.93,8.50,4.28
rat99,Cheapest Insertion,1419.39,1372.45,1396.87,1309.31,3,1,12,13.33,15.35,8.12,3.05
kroA100,Nearest Neighbor,26488.91,22254.12,24196.93,24098.76,5,4,11,4.57,13.70,13.24,4.20
kroA100,Nearest Insertion,25744.56,22919.12,25476.88,22809.67,5,4,11,7.69,19.71,7.18,5.79
kroA100,Cheapest Insertion,24486.13,23435.31,23522.83,22620.13,5,4,6,10.12,10.53,6.29,1.91
eil51,Nearest Neighbor,567.30,451.24,515.49,460.37,1,0,2,5.92,21.01,8.07,6.66
eil51,Nearest Insertion,490.63,466.59,479.48,458.07,0,0,1,9.53,12.55,7.53,2.07
eil51,Cheapest Insertion,491.35,456.41,464.30,444.93,0,0,1,7.14,8.99,4.44,1.87
eil101,Nearest Neighbor,769.04,682.58,738.86,709.79,3,5,7,8.52,17.47,12.84,3.65
eil101,Nearest Insertion,739.29,684.05,708.98,668.89,5,5,12,8.75,12.72,6.34,2.63
eil101,Cheapest Insertion,741.96,707.52,708.34,683.60,3,3,7,12.48,12.61,8.68,1.82
kroB100,Nearest Neighbor,28682.21,23468.71,28309.10,25636.66,5,3,18,6.00,27.86,15.79,8.94
kroB100,Nearest Insertion,27288.27,25419.14,26997.62,23801.38,3,2,6,14.81,21.93,7.50,5.89
kroB100,Cheapest Insertion,25197.05,23709.42,24372.52,23755.49,3,3,10,7.08,10.08,7.29,1.37
rat195,Nearest Neighbor,2755.22,2443.41,2725.05,2522.02,41,25,84,5.18,17.31,8.57,5.11
rat195,Nearest Insertion,2897.98,2611.94,2740.48,2517.40,39,26,84,12.44,17.97,8.37,3.94
rat195,Cheapest Insertion,2743.47,2597.36,2646.76,2510.22,39,42,99,11.81,13.94,8.06,2.43
lin105,Nearest Neighbor,19455.94,16465.51,18729.07,16109.20,5,6,37,14.51,30.25,12.03,8.07
lin105,Nearest Insertion,18615.54,15537.92,18222.46,16615.92,5,2,13,8.06,26.73,15.56,7.67
lin105,Cheapest Insertion,17601.03,16364.69,17168.21,15669.18,4,3,13,13.81,19.40,8.97,4.26
